ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000002.SH,20130830,2196.383,2195.335,2213.3,2186.711,2195.35,1.033,0.000471,168893906.0,131461216.058
000002.SH,20130829,2195.35,2207.062,2209.664,2185.998,2199.536,-4.186,-0.001903,132416320.0,104851319.884
000002.SH,20130828,2199.536,2189.856,2212.608,2178.044,2201.658,-2.122,-0.000964,160266129.0,131669351.612
000002.SH,20130827,2201.658,2192.99,2203.431,2187.805,2194.088,7.57,0.00345,125316057.0,104091174.695
000002.SH,20130826,2194.088,2157.332,2194.998,2151.78,2153.167,40.921,0.019005,119116335.0,98784877.447
000002.SH,20130823,2153.167,2172.599,2176.679,2123.678,2163.352,-10.185,-0.004708,111971534.0,94364230.296
000002.SH,20130822,2163.352,2165.643,2180.381,2158.377,2169.473,-6.121,-0.002821,90466645.0,75829130.635
000002.SH,20130821,2169.473,2172.969,2173.013,2152.617,2169.068,0.405,0.00018700000000000002,87075988.0,72700196.757
000002.SH,20130820,2169.068,2178.94,2196.739,2162.233,2182.768,-13.7,-0.006276,106914879.0,88890201.102
000002.SH,20130819,2182.768,2150.847,2188.596,2148.277,2164.848,17.92,0.008278,97089078.0,81324352.18
000002.SH,20130816,2164.848,2172.717,2301.995,2157.686,2178.89,-14.042,-0.006444999999999999,152571879.0,122885818.826
000002.SH,20130815,2178.89,2197.095,2206.721,2176.89,2197.989,-19.099,-0.008689,98992321.0,84541606.687
000002.SH,20130814,2197.989,2207.562,2221.989,2190.57,2204.326,-6.337,-0.002875,113950738.0,95546884.435
000002.SH,20130813,2204.326,2199.284,2204.591,2191.324,2199.247,5.079,0.002309,117339621.0,96246805.08
000002.SH,20130812,2199.247,2154.423,2200.371,2151.515,2147.905,51.342,0.023902999999999997,134659586.0,116236194.105
000002.SH,20130809,2147.905,2147.988,2157.907,2124.726,2140.242,7.663,0.00358,95029004.0,82894401.813
000002.SH,20130808,2140.242,2139.787,2154.614,2132.239,2142.237,-1.995,-0.000931,83915290.0,71843437.61
000002.SH,20130807,2142.237,2152.313,2166.176,2139.064,2156.647,-14.41,-0.0066820000000000004,107413904.0,91107783.709
000002.SH,20130806,2156.647,2138.984,2163.225,2129.85,2146.162,10.485,0.004885,105246051.0,88503072.099
000002.SH,20130805,2146.162,2126.449,2146.61,2119.619,2124.017,22.145,0.010426,85153862.0,73090305.08
000002.SH,20130802,2124.017,2134.635,2142.579,2120.073,2123.692,0.325,0.000153,93121676.0,78675348.673
000002.SH,20130801,2123.692,2094.115,2124.599,2090.126,2086.702,36.99,0.017727,90949166.0,77250610.442
000002.SH,20130731,2086.702,2094.12,2109.522,2080.504,2082.833,3.869,0.0018579999999999998,69953532.0,59298258.859
000002.SH,20130730,2082.833,2073.798,2099.823,2056.899,2068.385,14.448,0.006985,77029863.0,66062535.329
000002.SH,20130729,2068.385,2090.957,2090.957,2061.597,2104.623,-36.238,-0.017218,78511727.0,65793696.286
000002.SH,20130726,2104.623,2107.071,2115.867,2094.059,2115.452,-10.829,-0.005119,73638260.0,65466148.145
000002.SH,20130725,2115.452,2132.458,2140.904,2110.503,2128.25,-12.798,-0.006012999999999999,98307728.0,86143856.749
000002.SH,20130724,2128.25,2130.738,2138.194,2104.215,2139.347,-11.097,-0.005187000000000001,106424103.0,93590974.544
000002.SH,20130723,2139.347,2102.764,2147.359,2098.68,2098.322,41.025,0.019551,109198763.0,92568523.927
000002.SH,20130722,2098.322,2069.864,2099.067,2062.471,2085.485,12.837,0.006155000000000001,82672033.0,69525894.631
000002.SH,20130719,2085.485,2119.742,2130.169,2082.98,2117.702,-32.217,-0.015213,104324577.0,87360364.813
000002.SH,20130718,2117.702,2133.522,2138.762,2110.937,2140.379,-22.677,-0.010595,91931814.0,76530676.379
000002.SH,20130717,2140.379,2157.329,2172.688,2138.595,2162.11,-21.731,-0.010051000000000001,102968516.0,87856110.348
000002.SH,20130716,2162.11,2150.48,2162.778,2133.485,2155.349,6.761,0.0031369999999999996,96480386.0,82739952.827
000002.SH,20130715,2155.349,2141.444,2173.511,2132.116,2134.482,20.867,0.009776,101140655.0,87852130.855
000002.SH,20130712,2134.482,2164.5,2171.616,2130.867,2169.713,-35.231,-0.016238,120735460.0,102766660.199
000002.SH,20130711,2169.713,2104.785,2190.61,2104.127,2101.768,67.945,0.032328,159273209.0,130751202.15
000002.SH,20130710,2101.768,2054.414,2103.065,2051.627,2057.198,44.57,0.021665,89418877.0,72639294.654
000002.SH,20130709,2057.198,2044.702,2061.077,2037.073,2049.542,7.656,0.003735,64311616.0,52126746.319
000002.SH,20130708,2049.542,2075.511,2075.667,2044.148,2100.719,-51.177,-0.024361999999999998,83817438.0,67054579.732
000002.SH,20130705,2100.719,2099.64,2115.768,2095.621,2099.527,1.192,0.000568,91034098.0,75017968.725
000002.SH,20130704,2099.527,2075.135,2116.37,2065.996,2087.146,12.381,0.005932,100011894.0,82519248.032
000002.SH,20130703,2087.146,2089.41,2089.531,2056.998,2099.972,-12.826,-0.006108,93153445.0,76537458.121
000002.SH,20130702,2099.972,2085.609,2101.102,2070.431,2088.077,11.895,0.005697,86147795.0,73857439.164
000002.SH,20130701,2088.077,2057.368,2088.811,2048.553,2071.259,16.818,0.00812,77779305.0,62587359.343
000002.SH,20130628,2071.259,2025.446,2080.478,2015.084,2040.674,30.585,0.014988,100372516.0,77330631.924
000002.SH,20130627,2040.674,2045.947,2072.523,2032.569,2042.126,-1.452,-0.0007109999999999999,105378160.0,84054852.628
000002.SH,20130626,2042.126,2045.544,2050.33,2012.185,2050.785,-8.659,-0.004222,100808928.0,80684315.041
000002.SH,20130625,2050.785,2039.036,2054.94,1935.591,2054.621,-3.836,-0.001867,137414161.0,104415796.064
000002.SH,20130624,2054.621,2165.285,2165.285,2049.58,2169.684,-115.063,-0.053032,108617549.0,87710577.469
000002.SH,20130621,2169.684,2154.872,2183.164,2138.068,2181.115,-11.431,-0.005241,79227041.0,67225505.999
000002.SH,20130620,2181.115,2232.279,2232.279,2179.885,2243.452,-62.337,-0.027785999999999998,77391975.0,67972636.999
000002.SH,20130619,2243.452,2251.17,2251.17,2214.426,2260.059,-16.607,-0.007348,75167949.0,66948981.651
000002.SH,20130618,2260.059,2259.232,2262.604,2238.08,2256.775,3.284,0.001455,69400906.0,63467540.345
000002.SH,20130617,2256.775,2267.017,2270.589,2247.161,2262.836,-6.061,-0.002678,75477304.0,68309273.082
000002.SH,20130614,2262.836,2250.344,2264.756,2242.676,2248.562,14.274,0.006348,77515843.0,68593773.236
000002.SH,20130613,2248.562,2292.261,2292.261,2225.278,2314.045,-65.483,-0.028298,93783473.0,79437260.352
000002.SH,20130607,2314.045,2346.987,2355.775,2307.936,2346.815,-32.77,-0.013964,89465863.0,80837473.729
000002.SH,20130606,2346.815,2370.261,2372.637,2344.689,2377.077,-30.262,-0.012731,81179299.0,75091228.811
000002.SH,20130605,2377.077,2376.88,2383.311,2366.569,2378.645,-1.568,-0.000659,75919195.0,70884481.767
